trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.002, 'e': 0.9500819743619829}",20,0,-36.33129716615349,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
43,False,"{'a': 0.002, 'e': 0.9465707361144822}",35,0,-134.1012182667008,"{0: 19, 1: 5, 2: 8, 3: 3, 4: 0}",0
44,False,"{'a': 0.002, 'e': 0.9429079788391143}",30,0,-83.68375986468739,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
45,False,"{'a': 0.002, 'e': 0.9390917785036315}",20,0,-83.20028840734365,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
46,False,"{'a': 0.002, 'e': 0.9351203444676705}",25,0,-211.87612451464338,"{0: 13, 1: 2, 2: 4, 3: 3, 4: 3}",0
47,False,"{'a': 0.002, 'e': 0.9309920239492842}",20,0,-60.22369294334235,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
48,False,"{'a': 0.002, 'e': 0.9267053064195889}",20,0,-41.07872102363524,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.002, 'e': 0.9222588279126495}",20,0,-52.09157484323654,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
50,False,"{'a': 0.002, 'e': 0.9176513752375163}",25,0,-242.8663918778238,"{0: 10, 1: 3, 2: 8, 3: 0, 4: 4}",0
51,False,"{'a': 0.002, 'e': 0.9128818900791531}",25,0,-134.49605634429895,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
52,False,"{'a': 0.002, 'e': 0.90794947297485}",20,0,-137.88235184090317,"{0: 10, 1: 6, 2: 0, 3: 2, 4: 2}",0
53,False,"{'a': 0.002, 'e': 0.9028533871526024}",25,0,-84.8623055743584,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
54,False,"{'a': 0.002, 'e': 0.8975930622178683}",25,0,-94.75324483019351,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
55,False,"{'a': 0.002, 'e': 0.892168097675075}",20,0,-102.7498440800126,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
56,False,"{'a': 0.002, 'e': 0.8865782662702555}",20,0,-162.4010901974569,"{0: 7, 1: 2, 2: 8, 3: 2, 4: 1}",1
57,False,"{'a': 0.002, 'e': 0.8808235171412367}",30,9,-69.49323316803913,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 0}",1
58,False,"{'a': 0.002, 'e': 0.8749039787618944}",20,0,-66.27855408550757,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
59,False,"{'a': 0.002, 'e': 0.8688199616671222}",25,0,-75.80548382191567,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
60,False,"{'a': 0.002, 'e': 0.8625719609453439}",25,9,-14.783538675705058,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.002, 'e': 0.8561606584856284}",20,7,-14.444353269863203,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
62,False,"{'a': 0.002, 'e': 0.8495869249667394}",20,0,-129.85328178919417,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
63,False,"{'a': 0.002, 'e': 0.8428518215757863}",25,0,-135.17211845836508,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
64,False,"{'a': 0.002, 'e': 0.8359566014445136}",20,0,-91.017725288077,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
65,False,"{'a': 0.002, 'e': 0.8289027107917002}",20,0,-54.970359158169366,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
66,False,"{'a': 0.002, 'e': 0.8216917897606191}",25,12,-100.15707677160277,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 2}",1
67,False,"{'a': 0.002, 'e': 0.8143256729410389}",30,0,-71.38663834295427,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
68,False,"{'a': 0.002, 'e': 0.806806389565836}",20,0,-38.905706869092896,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
69,False,"{'a': 0.002, 'e': 0.7991361633729197}",35,0,-67.15823079136108,"{0: 28, 1: 2, 2: 3, 3: 1, 4: 1}",0
70,False,"{'a': 0.002, 'e': 0.7913174121238604}",20,0,-22.130108949740965,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
71,False,"{'a': 0.002, 'e': 0.7833527467713481}",25,0,-44.75377957087024,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
72,False,"{'a': 0.002, 'e': 0.7752449702683958}",25,0,-114.00501649314052,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
73,False,"{'a': 0.002, 'e': 0.7669970760130349}",20,7,-28.144786875039976,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
74,False,"{'a': 0.002, 'e': 0.7586122459231349}",25,0,-122.6118549084,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
75,False,"{'a': 0.002, 'e': 0.7500938481369}",20,0,-52.469862111682225,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
76,False,"{'a': 0.002, 'e': 0.7414454343355714}",25,2,-99.53220452416936,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 2}",1
77,False,"{'a': 0.002, 'e': 0.7326707366858646}",25,0,-139.2701292299172,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
78,False,"{'a': 0.002, 'e': 0.7237736644007275}",25,0,-49.8812899321849,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
79,False,"{'a': 0.002, 'e': 0.7147582999180792}",25,0,-101.1999004797973,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
80,False,"{'a': 0.002, 'e': 0.7056288946983069}",20,0,-83.18713427564467,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
81,False,"{'a': 0.002, 'e': 0.6963898646424423}",30,1,-25.677096056698673,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 0}",1
82,False,"{'a': 0.002, 'e': 0.6870457851341015}",25,0,-56.21817097816287,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
83,False,"{'a': 0.002, 'e': 0.6776013857094648}",25,11,-33.904474479273766,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
84,False,"{'a': 0.002, 'e': 0.6680615443607757}",25,0,-23.98069460545559,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
85,False,"{'a': 0.002, 'e': 0.6584312814800563}",20,0,-78.39129027440259,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
86,False,"{'a': 0.002, 'e': 0.6487157534509617}",20,0,-45.52897984750001,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
87,False,"{'a': 0.002, 'e': 0.6389202458979254}",25,0,-71.53049533697201,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
88,False,"{'a': 0.002, 'e': 0.6290501666029742}",30,7,-12.289810041221592,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 0}",1
89,False,"{'a': 0.002, 'e': 0.6191110381018107}",35,12,-30.32592135353098,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 0}",1
90,False,"{'a': 0.002, 'e': 0.6091084899719728}",25,0,-53.12207760950723,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
91,False,"{'a': 0.002, 'e': 0.5990482508270678}",25,0,-49.30165444032355,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
92,False,"{'a': 0.002, 'e': 0.5889361400322504}",25,0,-86.85593948214117,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
93,False,"{'a': 0.002, 'e': 0.5787780591572517}",25,0,-46.19485767909304,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
94,False,"{'a': 0.002, 'e': 0.5685799831843785}",20,0,-60.9706161420467,"{0: 14, 1: 2, 2: 1, 3: 3, 4: 0}",0
95,False,"{'a': 0.002, 'e': 0.5583479514899661}",20,13,0.9919425413959035,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.002, 'e': 0.5480880586187954}",20,0,-35.58899047517934,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
97,False,"{'a': 0.002, 'e': 0.53780644487196}",20,0,-42.10832409385602,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
98,False,"{'a': 0.002, 'e': 0.5275092867295867}",20,0,-111.13280237471585,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
99,False,"{'a': 0.002, 'e': 0.5172027871306745}",30,2,-75.11500353064761,"{0: 22, 1: 1, 2: 2, 3: 2, 4: 1}",1
100,False,"{'a': 0.002, 'e': 0.5068931656331123}",30,17,20.546700419216947,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.002, 'e': 0.49658664847765915}",30,9,-38.25246659616209,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 0}",1
102,False,"{'a': 0.002, 'e': 0.48628945858032124}",25,7,-7.162547483526343,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.002, 'e': 0.4760078054781321}",25,0,-30.058501808046852,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
104,False,"{'a': 0.002, 'e': 0.46574787525383066}",20,2,-6.708737698367111,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
105,False,"{'a': 0.002, 'e': 0.4555158204653325}",20,8,-58.299816943415706,"{0: 8, 1: 2, 2: 0, 3: 1, 4: 1}",1
106,False,"{'a': 0.002, 'e': 0.4453177501062019}",30,0,-1.5094798771757658,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
107,False,"{'a': 0.002, 'e': 0.43515971962355027}",25,6,18.136408362931075,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.002, 'e': 0.4250477210199078}",20,10,-26.069363920284502,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 0}",1
109,False,"{'a': 0.002, 'e': 0.41498767306563955}",20,12,2.6049055186870325,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.002, 'e': 0.40498541164840085}",20,0,25.48013318304455,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.002, 'e': 0.3950466802859478}",25,14,18.34288258640985,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.002, 'e': 0.3851771208283401}",30,13,-2.6401568809176514,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.002, 'e': 0.3753822643751883}",20,0,-1.1543403500570764,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
114,False,"{'a': 0.002, 'e': 0.36566752243311323}",20,7,-22.20600869355975,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
115,False,"{'a': 0.002, 'e': 0.3560381783379964}",20,0,-63.462173882823315,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",1
116,False,"{'a': 0.002, 'e': 0.3464993789659116}",20,0,11.272676876133762,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
117,False,"{'a': 0.002, 'e': 0.33705612675583974}",25,0,-26.863874811425447,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
118,False,"{'a': 0.002, 'e': 0.3277132720663835}",25,14,19.769368745798808,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.002, 'e': 0.3184755058877194}",20,0,24.900323813427285,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.002, 'e': 0.309347352928953}",20,0,-28.838336854113194,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 0.002, 'e': 0.3003331650998875}",25,0,-49.89918071269516,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
122,False,"{'a': 0.002, 'e': 0.29143711540497264}",25,3,27.622959322019366,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.002, 'e': 0.28266319226588343}",20,10,-92.87702128310231,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 2}",1
124,False,"{'a': 0.002, 'e': 0.2740151942877866}",25,9,13.413504181985024,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.002, 'e': 0.2654967254828921}",20,14,-31.74853782201444,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.002, 'e': 0.257111190963369}",20,7,18.548662540406475,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.002, 'e': 0.24886179311412734}",20,7,20.487324626817205,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.002, 'e': 0.24075152825434834}",25,18,5.708443646441969,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.002, 'e': 0.23278318379497884}",20,14,-8.659735366097049,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
130,False,"{'a': 0.002, 'e': 0.22495933589771197}",25,8,5.1910864601335875,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.002, 'e': 0.21728234763925247}",30,1,41.22917703873242,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.002, 'e': 0.20975436768292666}",20,10,2.1075952933840014,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.002, 'e': 0.20237732945794767}",25,15,-2.8925593777456537,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.002, 'e': 0.19515295084489626}",20,14,12.471827512036262,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.002, 'e': 0.18808273436423423}",25,3,9.938184798205436,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.002, 'e': 0.18116796786293898}",30,16,26.47757133029053,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.002, 'e': 0.17440972569264243}",20,9,10.896444321181253,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.002, 'e': 0.167808870370984}",30,12,23.561541612992862,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.002, 'e': 0.1613660547162531}",20,10,15.603856028818495,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.002, 'e': 0.15508172444380847}",25,0,16.87475328090546,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
141,False,"{'a': 0.002, 'e': 0.14895612121122997}",25,15,19.061988665296617,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.002, 'e': 0.1429892860976869}",35,24,-3.4396491131694384,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
143,False,"{'a': 0.002, 'e': 0.13718106350160522}",25,14,-7.352095803847556,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.002, 'e': 0.13153110543938945}",30,0,-27.13221127065546,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
145,False,"{'a': 0.002, 'e': 0.12603887622670976}",20,11,2.0405423089772685,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
